% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 16:49"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
6.150000000000000E-7,4.874674113821138E2,2.412233538751982E-1∠0.000000000000000E0°,2.412233538751982E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.411490526063063E-1∠0.000000000000000E0°,2.411490526063063E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.410990652354038E-1∠0.000000000000000E0°,2.410990652354038E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,2.410382360901183E-1∠0.000000000000000E0°,2.410382360901183E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,2.409718387005605E-1∠0.000000000000000E0°,2.409718387005605E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,2.408845777486063E-1∠0.000000000000000E0°,2.408845777486063E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.408197967872786E-1∠0.000000000000000E0°,2.408197967872786E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,2.407681022256006E-1∠0.000000000000000E0°,2.407681022256006E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.550000000000000E-7,4.576984091603053E2,2.406858376981604E-1∠0.000000000000000E0°,2.406858376981604E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.600000000000000E-7,4.542309969696970E2,2.406474351837890E-1∠0.000000000000000E0°,2.406474351837890E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.650000000000000E-7,4.508157263157895E2,2.406191103847049E-1∠0.000000000000000E0°,2.406191103847049E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.699999999999999E-7,4.474514298507463E2,2.406308646227497E-1∠0.000000000000000E0°,2.406308646227497E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.750000000000000E-7,4.441369748148147E2,2.406179203904586E-1∠0.000000000000000E0°,2.406179203904586E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.800000000000001E-7,4.408712617647059E2,2.405602719480114E-1∠0.000000000000000E0°,2.405602719480114E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.850000000000000E-7,4.376532233576642E2,2.404789092292740E-1∠0.000000000000000E0°,2.404789092292740E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.900000000000000E-7,4.344818231884058E2,2.404537619426204E-1∠0.000000000000000E0°,2.404537619426204E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.949999999999999E-7,4.313560546762591E2,2.403829461531078E-1∠0.000000000000000E0°,2.403829461531078E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.000000000000000E-7,4.282749400000000E2,2.403152208325737E-1∠0.000000000000000E0°,2.403152208325737E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.050000000000000E-7,4.252375290780141E2,2.402709672788538E-1∠0.000000000000000E0°,2.402709672788538E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.100000000000000E-7,4.222428985915493E2,2.401876504833142E-1∠0.000000000000000E0°,2.401876504833142E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.149999999999999E-7,4.192901510489510E2,2.402128056745446E-1∠0.000000000000000E0°,2.402128056745446E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.200000000000000E-7,4.163784138888889E2,2.401432809579583E-1∠0.000000000000000E0°,2.401432809579583E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.250000000000000E-7,4.135068386206896E2,2.400865633632071E-1∠0.000000000000000E0°,2.400865633632071E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.300000000000000E-7,4.106746000000000E2,2.401184798139804E-1∠0.000000000000000E0°,2.401184798139804E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.350000000000000E-7,4.078808952380953E2,2.400474822642904E-1∠0.000000000000000E0°,2.400474822642904E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.400000000000000E-7,4.051249432432432E2,2.400156217925079E-1∠0.000000000000000E0°,2.400156217925079E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.450000000000001E-7,4.024059838926174E2,2.400041388822529E-1∠0.000000000000000E0°,2.400041388822529E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.500000000000000E-7,3.997232773333333E2,2.399238806901908E-1∠0.000000000000000E0°,2.399238806901908E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.550000000000000E-7,3.970761033112582E2,2.398746957043240E-1∠0.000000000000000E0°,2.398746957043240E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
7.599999999999999E-7,3.944637605263158E2,2.398198499633950E-1∠0.000000000000000E0°,2.398198499633950E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
