% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 16 2026, 10:13"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad)
5.450000000000000E-7,5.500779045871560E2,2.429998728980051E-1∠0.000000000000000E0°,2.429998728980051E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.500000000000000E-7,5.450771963636364E2,2.429904732132996E-1∠0.000000000000000E0°,2.429904732132996E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.550000000000000E-7,5.401665909909910E2,2.428948376288829E-1∠0.000000000000000E0°,2.428948376288829E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.599999999999999E-7,5.353436750000001E2,2.428495522300284E-1∠0.000000000000000E0°,2.428495522300284E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.650000000000000E-7,5.306061203539823E2,2.427221452513008E-1∠0.000000000000000E0°,2.427221452513008E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.700000000000000E-7,5.259516807017543E2,2.426405968978831E-1∠0.000000000000000E0°,2.426405968978831E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.750000000000000E-7,5.213781878260869E2,2.426399546827532E-1∠0.000000000000000E0°,2.426399546827532E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.800000000000000E-7,5.168835482758622E2,2.425558913017742E-1∠0.000000000000000E0°,2.425558913017742E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.850000000000000E-7,5.124657401709401E2,2.425363678238154E-1∠0.000000000000000E0°,2.425363678238154E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.900000000000000E-7,5.081228101694915E2,2.424289418627684E-1∠0.000000000000000E0°,2.424289418627684E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
5.950000000000000E-7,5.038528705882353E2,2.423863980297801E-1∠0.000000000000000E0°,2.423863980297801E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.000000000000000E-7,4.996540966666667E2,2.422638749100133E-1∠0.000000000000000E0°,2.422638749100133E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.049999999999999E-7,4.955247239669422E2,2.422071717655203E-1∠0.000000000000000E0°,2.422071717655203E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.100000000000000E-7,4.914630459016394E2,2.421668457141238E-1∠0.000000000000000E0°,2.421668457141238E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.150000000000000E-7,4.874674113821138E2,2.421663307846284E-1∠0.000000000000000E0°,2.421663307846284E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.200000000000000E-7,4.835362225806452E2,2.420836912383288E-1∠0.000000000000000E0°,2.420836912383288E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.249999999999999E-7,4.796679328000001E2,2.420326898838669E-1∠0.000000000000000E0°,2.420326898838669E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.300000000000000E-7,4.758610444444444E2,2.419623426521478E-1∠0.000000000000000E0°,2.419623426521478E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.350000000000000E-7,4.721141070866142E2,2.418869753523164E-1∠0.000000000000000E0°,2.418869753523164E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.400000000000000E-7,4.684257156250000E2,2.417933149380735E-1∠0.000000000000000E0°,2.417933149380735E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.450000000000000E-7,4.647945085271318E2,2.417284897065024E-1∠0.000000000000000E0°,2.417284897065024E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
6.499999999999999E-7,4.612191661538462E2,2.416612533841540E-1∠0.000000000000000E0°,2.416612533841540E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°
