lambda_um,n,k,material,source
3.1,1.35898669,0,MgF2,Dodge 1984 ordinary ray
3.11,1.35888901,0,MgF2,Dodge 1984 ordinary ray
3.12,1.358791,0,MgF2,Dodge 1984 ordinary ray
3.13,1.35869266,0,MgF2,Dodge 1984 ordinary ray
3.14,1.358594,0,MgF2,Dodge 1984 ordinary ray
3.15,1.358495,0,MgF2,Dodge 1984 ordinary ray
3.16,1.35839567,0,MgF2,Dodge 1984 ordinary ray
3.17,1.35829602,0,MgF2,Dodge 1984 ordinary ray
3.18,1.35819603,0,MgF2,Dodge 1984 ordinary ray
3.19,1.3580957,0,MgF2,Dodge 1984 ordinary ray
3.2,1.35799505,0,MgF2,Dodge 1984 ordinary ray
3.21,1.35789406,0,MgF2,Dodge 1984 ordinary ray
3.22,1.35779274,0,MgF2,Dodge 1984 ordinary ray
3.23,1.35769108,0,MgF2,Dodge 1984 ordinary ray
3.24,1.3575891,0,MgF2,Dodge 1984 ordinary ray
3.25,1.35748677,0,MgF2,Dodge 1984 ordinary ray
3.26,1.35738411,0,MgF2,Dodge 1984 ordinary ray
3.27,1.35728112,0,MgF2,Dodge 1984 ordinary ray
3.28,1.35717779,0,MgF2,Dodge 1984 ordinary ray
3.29,1.35707412,0,MgF2,Dodge 1984 ordinary ray
3.3,1.35697012,0,MgF2,Dodge 1984 ordinary ray
3.31,1.35686578,0,MgF2,Dodge 1984 ordinary ray
3.32,1.3567611,0,MgF2,Dodge 1984 ordinary ray
3.33,1.35665609,0,MgF2,Dodge 1984 ordinary ray
3.34,1.35655074,0,MgF2,Dodge 1984 ordinary ray
3.35,1.35644504,0,MgF2,Dodge 1984 ordinary ray
3.36,1.35633901,0,MgF2,Dodge 1984 ordinary ray
3.37,1.35623264,0,MgF2,Dodge 1984 ordinary ray
3.38,1.35612593,0,MgF2,Dodge 1984 ordinary ray
3.39,1.35601888,0,MgF2,Dodge 1984 ordinary ray
3.4,1.35591149,0,MgF2,Dodge 1984 ordinary ray
3.41,1.35580376,0,MgF2,Dodge 1984 ordinary ray
3.42,1.35569568,0,MgF2,Dodge 1984 ordinary ray
3.43,1.35558727,0,MgF2,Dodge 1984 ordinary ray
3.44,1.35547851,0,MgF2,Dodge 1984 ordinary ray
3.45,1.35536941,0,MgF2,Dodge 1984 ordinary ray
3.46,1.35525996,0,MgF2,Dodge 1984 ordinary ray
3.47,1.35515018,0,MgF2,Dodge 1984 ordinary ray
3.48,1.35504004,0,MgF2,Dodge 1984 ordinary ray
3.49,1.35492957,0,MgF2,Dodge 1984 ordinary ray
3.5,1.35481875,0,MgF2,Dodge 1984 ordinary ray
3.51,1.35470758,0,MgF2,Dodge 1984 ordinary ray
3.52,1.35459607,0,MgF2,Dodge 1984 ordinary ray
3.53,1.35448421,0,MgF2,Dodge 1984 ordinary ray
3.54,1.354372,0,MgF2,Dodge 1984 ordinary ray
3.55,1.35425945,0,MgF2,Dodge 1984 ordinary ray
3.56,1.35414655,0,MgF2,Dodge 1984 ordinary ray
3.57,1.35403331,0,MgF2,Dodge 1984 ordinary ray
3.58,1.35391971,0,MgF2,Dodge 1984 ordinary ray
3.59,1.35380577,0,MgF2,Dodge 1984 ordinary ray
3.6,1.35369148,0,MgF2,Dodge 1984 ordinary ray
3.61,1.35357684,0,MgF2,Dodge 1984 ordinary ray
3.62,1.35346185,0,MgF2,Dodge 1984 ordinary ray
3.63,1.3533465,0,MgF2,Dodge 1984 ordinary ray
3.64,1.35323081,0,MgF2,Dodge 1984 ordinary ray
3.65,1.35311477,0,MgF2,Dodge 1984 ordinary ray
3.66,1.35299838,0,MgF2,Dodge 1984 ordinary ray
3.67,1.35288163,0,MgF2,Dodge 1984 ordinary ray
3.68,1.35276453,0,MgF2,Dodge 1984 ordinary ray
3.69,1.35264708,0,MgF2,Dodge 1984 ordinary ray
3.7,1.35252928,0,MgF2,Dodge 1984 ordinary ray
3.71,1.35241112,0,MgF2,Dodge 1984 ordinary ray
3.72,1.35229261,0,MgF2,Dodge 1984 ordinary ray
3.73,1.35217374,0,MgF2,Dodge 1984 ordinary ray
3.74,1.35205452,0,MgF2,Dodge 1984 ordinary ray
3.75,1.35193494,0,MgF2,Dodge 1984 ordinary ray
3.76,1.35181501,0,MgF2,Dodge 1984 ordinary ray
3.77,1.35169473,0,MgF2,Dodge 1984 ordinary ray
3.78,1.35157408,0,MgF2,Dodge 1984 ordinary ray
3.79,1.35145308,0,MgF2,Dodge 1984 ordinary ray
3.8,1.35133172,0,MgF2,Dodge 1984 ordinary ray
3.81,1.35121001,0,MgF2,Dodge 1984 ordinary ray
3.82,1.35108793,0,MgF2,Dodge 1984 ordinary ray
3.83,1.3509655,0,MgF2,Dodge 1984 ordinary ray
3.84,1.35084271,0,MgF2,Dodge 1984 ordinary ray
3.85,1.35071956,0,MgF2,Dodge 1984 ordinary ray
3.86,1.35059605,0,MgF2,Dodge 1984 ordinary ray
3.87,1.35047218,0,MgF2,Dodge 1984 ordinary ray
3.88,1.35034795,0,MgF2,Dodge 1984 ordinary ray
3.89,1.35022335,0,MgF2,Dodge 1984 ordinary ray
3.9,1.3500984,0,MgF2,Dodge 1984 ordinary ray
3.91,1.34997308,0,MgF2,Dodge 1984 ordinary ray
3.92,1.34984741,0,MgF2,Dodge 1984 ordinary ray
3.93,1.34972136,0,MgF2,Dodge 1984 ordinary ray
3.94,1.34959496,0,MgF2,Dodge 1984 ordinary ray
3.95,1.34946819,0,MgF2,Dodge 1984 ordinary ray
3.96,1.34934106,0,MgF2,Dodge 1984 ordinary ray
3.97,1.34921356,0,MgF2,Dodge 1984 ordinary ray
3.98,1.3490857,0,MgF2,Dodge 1984 ordinary ray
3.99,1.34895747,0,MgF2,Dodge 1984 ordinary ray
4,1.34882888,0,MgF2,Dodge 1984 ordinary ray
4.01,1.34869992,0,MgF2,Dodge 1984 ordinary ray
4.02,1.34857059,0,MgF2,Dodge 1984 ordinary ray
4.03,1.3484409,0,MgF2,Dodge 1984 ordinary ray
4.04,1.34831084,0,MgF2,Dodge 1984 ordinary ray
4.05,1.34818041,0,MgF2,Dodge 1984 ordinary ray
4.06,1.34804961,0,MgF2,Dodge 1984 ordinary ray
4.07,1.34791844,0,MgF2,Dodge 1984 ordinary ray
4.08,1.34778691,0,MgF2,Dodge 1984 ordinary ray
4.09,1.347655,0,MgF2,Dodge 1984 ordinary ray
4.1,1.34752272,0,MgF2,Dodge 1984 ordinary ray
4.11,1.34739007,0,MgF2,Dodge 1984 ordinary ray
4.12,1.34725706,0,MgF2,Dodge 1984 ordinary ray
4.13,1.34712367,0,MgF2,Dodge 1984 ordinary ray
4.14,1.3469899,0,MgF2,Dodge 1984 ordinary ray
4.15,1.34685577,0,MgF2,Dodge 1984 ordinary ray
4.16,1.34672126,0,MgF2,Dodge 1984 ordinary ray
4.17,1.34658638,0,MgF2,Dodge 1984 ordinary ray
4.18,1.34645112,0,MgF2,Dodge 1984 ordinary ray
4.19,1.34631549,0,MgF2,Dodge 1984 ordinary ray
4.2,1.34617949,0,MgF2,Dodge 1984 ordinary ray
4.21,1.34604311,0,MgF2,Dodge 1984 ordinary ray
4.22,1.34590635,0,MgF2,Dodge 1984 ordinary ray
4.23,1.34576922,0,MgF2,Dodge 1984 ordinary ray
4.24,1.34563171,0,MgF2,Dodge 1984 ordinary ray
4.25,1.34549382,0,MgF2,Dodge 1984 ordinary ray
4.26,1.34535556,0,MgF2,Dodge 1984 ordinary ray
4.27,1.34521692,0,MgF2,Dodge 1984 ordinary ray
4.28,1.3450779,0,MgF2,Dodge 1984 ordinary ray
4.29,1.3449385,0,MgF2,Dodge 1984 ordinary ray
4.3,1.34479872,0,MgF2,Dodge 1984 ordinary ray
4.31,1.34465856,0,MgF2,Dodge 1984 ordinary ray
4.32,1.34451802,0,MgF2,Dodge 1984 ordinary ray
4.33,1.3443771,0,MgF2,Dodge 1984 ordinary ray
4.34,1.3442358,0,MgF2,Dodge 1984 ordinary ray
4.35,1.34409411,0,MgF2,Dodge 1984 ordinary ray
4.36,1.34395205,0,MgF2,Dodge 1984 ordinary ray
4.37,1.3438096,0,MgF2,Dodge 1984 ordinary ray
4.38,1.34366677,0,MgF2,Dodge 1984 ordinary ray
4.39,1.34352355,0,MgF2,Dodge 1984 ordinary ray
4.4,1.34337995,0,MgF2,Dodge 1984 ordinary ray
4.41,1.34323596,0,MgF2,Dodge 1984 ordinary ray
4.42,1.34309159,0,MgF2,Dodge 1984 ordinary ray
4.43,1.34294684,0,MgF2,Dodge 1984 ordinary ray
4.44,1.34280169,0,MgF2,Dodge 1984 ordinary ray
4.45,1.34265616,0,MgF2,Dodge 1984 ordinary ray
4.46,1.34251025,0,MgF2,Dodge 1984 ordinary ray
4.47,1.34236394,0,MgF2,Dodge 1984 ordinary ray
4.48,1.34221725,0,MgF2,Dodge 1984 ordinary ray
4.49,1.34207017,0,MgF2,Dodge 1984 ordinary ray
4.5,1.3419227,0,MgF2,Dodge 1984 ordinary ray
4.51,1.34177484,0,MgF2,Dodge 1984 ordinary ray
4.52,1.34162659,0,MgF2,Dodge 1984 ordinary ray
4.53,1.34147795,0,MgF2,Dodge 1984 ordinary ray
4.54,1.34132892,0,MgF2,Dodge 1984 ordinary ray
4.55,1.34117949,0,MgF2,Dodge 1984 ordinary ray
