lambda_um,n,k,material,source
2.53,1.42923774,0,SiO2,Malitson 1965; Tan 1998
2.54,1.42904778,0,SiO2,Malitson 1965; Tan 1998
2.55,1.42885689,0,SiO2,Malitson 1965; Tan 1998
2.56,1.42866507,0,SiO2,Malitson 1965; Tan 1998
2.57,1.42847233,0,SiO2,Malitson 1965; Tan 1998
2.58,1.42827865,0,SiO2,Malitson 1965; Tan 1998
2.59,1.42808403,0,SiO2,Malitson 1965; Tan 1998
2.6,1.42788847,0,SiO2,Malitson 1965; Tan 1998
2.61,1.42769196,0,SiO2,Malitson 1965; Tan 1998
2.62,1.42749451,0,SiO2,Malitson 1965; Tan 1998
2.63,1.42729609,0,SiO2,Malitson 1965; Tan 1998
2.64,1.42709672,0,SiO2,Malitson 1965; Tan 1998
2.65,1.42689639,0,SiO2,Malitson 1965; Tan 1998
2.66,1.42669509,0,SiO2,Malitson 1965; Tan 1998
2.67,1.42649282,0,SiO2,Malitson 1965; Tan 1998
2.68,1.42628958,0,SiO2,Malitson 1965; Tan 1998
2.69,1.42608536,0,SiO2,Malitson 1965; Tan 1998
2.7,1.42588015,0,SiO2,Malitson 1965; Tan 1998
2.71,1.42567396,0,SiO2,Malitson 1965; Tan 1998
2.72,1.42546678,0,SiO2,Malitson 1965; Tan 1998
2.73,1.42525861,0,SiO2,Malitson 1965; Tan 1998
2.74,1.42504943,0,SiO2,Malitson 1965; Tan 1998
2.75,1.42483925,0,SiO2,Malitson 1965; Tan 1998
2.76,1.42462807,0,SiO2,Malitson 1965; Tan 1998
2.77,1.42441588,0,SiO2,Malitson 1965; Tan 1998
2.78,1.42420267,0,SiO2,Malitson 1965; Tan 1998
2.79,1.42398844,0,SiO2,Malitson 1965; Tan 1998
2.8,1.42377318,0,SiO2,Malitson 1965; Tan 1998
2.81,1.4235569,0,SiO2,Malitson 1965; Tan 1998
2.82,1.42333959,0,SiO2,Malitson 1965; Tan 1998
2.83,1.42312124,0,SiO2,Malitson 1965; Tan 1998
2.84,1.42290185,0,SiO2,Malitson 1965; Tan 1998
2.85,1.42268142,0,SiO2,Malitson 1965; Tan 1998
2.86,1.42245993,0,SiO2,Malitson 1965; Tan 1998
2.87,1.4222374,0,SiO2,Malitson 1965; Tan 1998
2.88,1.4220138,0,SiO2,Malitson 1965; Tan 1998
2.89,1.42178915,0,SiO2,Malitson 1965; Tan 1998
2.9,1.42156342,0,SiO2,Malitson 1965; Tan 1998
2.91,1.42133663,0,SiO2,Malitson 1965; Tan 1998
2.92,1.42110876,0,SiO2,Malitson 1965; Tan 1998
2.93,1.42087981,0,SiO2,Malitson 1965; Tan 1998
2.94,1.42064977,0,SiO2,Malitson 1965; Tan 1998
2.95,1.42041865,0,SiO2,Malitson 1965; Tan 1998
2.96,1.42018643,0,SiO2,Malitson 1965; Tan 1998
2.97,1.41995311,0,SiO2,Malitson 1965; Tan 1998
2.98,1.41971869,0,SiO2,Malitson 1965; Tan 1998
2.99,1.41948317,0,SiO2,Malitson 1965; Tan 1998
3,1.41924653,0,SiO2,Malitson 1965; Tan 1998
3.01,1.41900878,0,SiO2,Malitson 1965; Tan 1998
3.02,1.4187699,0,SiO2,Malitson 1965; Tan 1998
3.03,1.4185299,0,SiO2,Malitson 1965; Tan 1998
3.04,1.41828877,0,SiO2,Malitson 1965; Tan 1998
3.05,1.4180465,0,SiO2,Malitson 1965; Tan 1998
3.06,1.41780309,0,SiO2,Malitson 1965; Tan 1998
3.07,1.41755854,0,SiO2,Malitson 1965; Tan 1998
3.08,1.41731283,0,SiO2,Malitson 1965; Tan 1998
3.09,1.41706598,0,SiO2,Malitson 1965; Tan 1998
3.1,1.41681796,0,SiO2,Malitson 1965; Tan 1998
3.11,1.41656877,0,SiO2,Malitson 1965; Tan 1998
3.12,1.41631842,0,SiO2,Malitson 1965; Tan 1998
3.13,1.41606689,0,SiO2,Malitson 1965; Tan 1998
3.14,1.41581419,0,SiO2,Malitson 1965; Tan 1998
3.15,1.41556029,0,SiO2,Malitson 1965; Tan 1998
3.16,1.41530521,0,SiO2,Malitson 1965; Tan 1998
3.17,1.41504894,0,SiO2,Malitson 1965; Tan 1998
3.18,1.41479146,0,SiO2,Malitson 1965; Tan 1998
3.19,1.41453278,0,SiO2,Malitson 1965; Tan 1998
3.2,1.41427288,0,SiO2,Malitson 1965; Tan 1998
3.21,1.41401177,0,SiO2,Malitson 1965; Tan 1998
3.22,1.41374944,0,SiO2,Malitson 1965; Tan 1998
3.23,1.41348589,0,SiO2,Malitson 1965; Tan 1998
3.24,1.4132211,0,SiO2,Malitson 1965; Tan 1998
3.25,1.41295508,0,SiO2,Malitson 1965; Tan 1998
3.26,1.41268781,0,SiO2,Malitson 1965; Tan 1998
3.27,1.41241929,0,SiO2,Malitson 1965; Tan 1998
3.28,1.41214952,0,SiO2,Malitson 1965; Tan 1998
3.29,1.4118785,0,SiO2,Malitson 1965; Tan 1998
3.3,1.4116062,0,SiO2,Malitson 1965; Tan 1998
3.31,1.41133264,0,SiO2,Malitson 1965; Tan 1998
3.32,1.4110578,0,SiO2,Malitson 1965; Tan 1998
3.33,1.41078168,0,SiO2,Malitson 1965; Tan 1998
3.34,1.41050428,0,SiO2,Malitson 1965; Tan 1998
3.35,1.41022558,0,SiO2,Malitson 1965; Tan 1998
3.36,1.40994558,0,SiO2,Malitson 1965; Tan 1998
3.37,1.40966428,0,SiO2,Malitson 1965; Tan 1998
3.38,1.40938167,0,SiO2,Malitson 1965; Tan 1998
3.39,1.40909774,0,SiO2,Malitson 1965; Tan 1998
3.4,1.40881249,0,SiO2,Malitson 1965; Tan 1998
3.41,1.40852591,0,SiO2,Malitson 1965; Tan 1998
3.42,1.408238,0,SiO2,Malitson 1965; Tan 1998
3.43,1.40794875,0,SiO2,Malitson 1965; Tan 1998
3.44,1.40765815,0,SiO2,Malitson 1965; Tan 1998
3.45,1.4073662,0,SiO2,Malitson 1965; Tan 1998
3.46,1.40707289,0,SiO2,Malitson 1965; Tan 1998
3.47,1.40677821,0,SiO2,Malitson 1965; Tan 1998
3.48,1.40648217,0,SiO2,Malitson 1965; Tan 1998
3.49,1.40618475,0,SiO2,Malitson 1965; Tan 1998
