lambda_um,irradiance,source
0.463,1.6031,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.464,1.5544,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.465,1.535,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.466,1.5673,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.467,1.4973,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.468,1.5619,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.469,1.5682,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.47,1.5077,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.471,1.5331,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.472,1.6126,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.473,1.5499,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.474,1.5671,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.475,1.6185,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.476,1.5631,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.477,1.5724,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.478,1.623,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.479,1.5916,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.48,1.6181,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.481,1.6177,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.482,1.6236,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.483,1.6038,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.484,1.5734,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.485,1.5683,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.486,1.2716,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.487,1.4241,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.488,1.5413,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.489,1.4519,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.49,1.6224,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.491,1.5595,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.492,1.4869,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.493,1.5903,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.494,1.5525,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.495,1.6485,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.496,1.5676,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.497,1.5944,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.498,1.5509,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.499,1.5507,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.5,1.5451,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.501,1.4978,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.502,1.4966,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.503,1.5653,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.504,1.4587,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.505,1.5635,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.506,1.6264,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.507,1.556,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.508,1.5165,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.509,1.5893,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
0.51,1.5481,"ASTM G173-03 AM1.5 global tilt, NREL/NLR"
